Club Address,Club Number,Club E-mail,Club name
"Hof Waldegg, D-87487 Wiggensbach, Germany",+49 8370 93073,info@golf-wiggensbach.com,Golfclub Waldegg-Wiggensbach e.V.
"In de Bargen 59, D-22587 Hamburg, Germany",+49 40 812177,info@golfclub-falkenstein.de,Hamburger Golf-Club e.V. Falkenstein
"Kranichweg 1, D-19065 Gneven-Vorbeck, Germany",+49 3860 5020,info@winstongolf.de,WINSTONgolf
"Apeldör 2, D-25779 Hennstedt, Germany",+49 4836 99600,golfhotel@apeldoer.de,Golf Club Gut Apeldör GmbH
"Drei Buchen, D-55583 Bad Kreuznach, Germany",+49 6708 2145,info@golfclub-nahetal.de,Golfclub Nahetal e.V.
"Fernsicht 1, D-25997 Hörnum/Sylt, Germany",+49 4651 4492710,golf@gc-budersand.de,Golfclub Budersand Sylt
"Denzerheide, D-56130 Bad Ems, Germany",+49 2603 6541,info@mgcbadems.de,Mittelrheinischer Golfclub Bad Ems e.V.
"Ruppertslohe 18, D-92283 Lauterhofen, Germany",+49 9186 1574,info@gc-lauterhofen.de,Golf Club Lauterhofen e.V.
"Am Golfplatz 1-3, D-79780 Stühlingen, Germany",+49 7703 92030,sekretariat@golf-oberealp.de,Golfclub Obere Alp e.V.
"Grevelingstieg 6, D-25938 Nieblum, Germany",+49 4681 580455,info@golfclubfoehr.de,Golf Club Föhr e.V.
"Grosser Weg 100, D-53474 Bad Neuenahr-Ahrweiler, Germany",+49 2641 950950,sekretariat@glc-badneuenahr.de,Golf- und Landclub Bad Neuenahr-Ahrweiler
"Buflings 1a, D-87534 Oberstaufen, Germany",+49 8386 939250,info@golfzentrum-oberstaufen.de,Golf Club Oberstaufen e.V.
"D-93093 Jagdschloß Thiergarten, Germany",+49 9403 505,sekretariat@golfclub-regensburg.de,Golf- und Land-Club Regensburg e.V.
"Opelstraße 30, D-68789 St. Leon-Rot, Germany",+49 6227 86080,info@gc-slr.de,Golf Club St. Leon-Rot Betriebsgesellschaft mbH & Co. KG
"Westerhart 1b, D-87740 Buxheim, Germany",+49 8331 71016,info@golfclub-memmingen.de,Golfclub Memmingen Gut Westerhart e.V.
"Friedensweg 4, D-87437 Kempten, Germany",+49 831 5129550,info@golfparklenzfried.de,Golfpark Schloßgut Lenzfried GmbH & Co. KG
"Widukindweg, D-21357 St. Dionys, Germany",+49 4133 213311,info@golfclub-st-dionys.de,Golf Club St. Dionys e.V.
"Am Großen Baum 7, D-88175 Scheidegg, Germany",+49 8381 8899380,info@golfplatz-scheidegg.de,Golfplatz Scheidegg
"Fischgartl 2, D-84332 Hebertsfelden, Germany",+49 8561 5969,info@rottaler-gc.de,Rottaler Golf- & Country Club Eggenfelden
"Gut Steinberg 1 - 3, D-83666 Waakirchen / Marienstein, Germany",+49 8022 7506330,golf@margarethenhof.com,DER MARGARETHENHOF Golf & Hotel am Tegernsee
"Zerrenthiner Straße 2-3, D-17309 Krugsdorf, Germany",+49 39743 519616,info@schlosskrugsdorf.de,Golf & Country Club Schloß Krugsdorf
"Schloss Langenstein, D-78359 Orsingen-Nenzingen, Germany",+49 7774 50651,golf-sekretariat@schloss-langenstein.com,Country Club Schloss Langenstein
"Eltweg 2, D-47809 Krefeld-Linn, Germany",+49 2151 156030,kgc@krefelder-gc.de,Krefelder Golf Club e.V.
"Eichenfürst 9, Marktheidenfeld, D-97828 Marktheidenfeld, Germany",+49 9391 8435,info@main-spessart-golf.de,Golfclub Main-Spessart e.V.
"In der Au 5, D-87534 Oberstaufen-Steibis, Germany",+49 8386 8529,info@golf-oberstaufen.de,Golfclub Oberstaufen-Steibis e.V.
"Aldinger Straße, Geb. 975, D-70806 Kornwestheim, Germany",+49 7141 871319,info@gc-neckartal.de,Golfclub Neckartal e.V.
"Gut Schluifeld, D-82237 Wörthsee, Germany",+49 8153 934770,info@golfclub-woerthsee.de,Golfclub Wörthsee e.V.
"Bockholm 23, D-24960 Glücksburg-Bockholm, Germany",+49 4631 2547,info@foerdegolfclub.de,Förde-Golf-Club e.V.
"Hindenburgsstraße 7, D-63637 Jossgrund, Germany",+49 6059 905510,info@golfclub-badorb.de,Golf-Club Bad Orb Jossgrund e.V.
"Gut Levershausen, D-37154 Northeim, Germany",+49 5551 908380,info@gchardenberg.de,Golf Club Hardenberg e.V.
"Reischenhof 1, D-88489 Wain, Germany",+49 7353 1732,info@golfclub-reischenhof.de,Golfclub Reischenhof e.V.
"Eulenstraße 58, D-58730 Fröndenberg, Germany",+49 2373 76489,gut.neuenhof@golf.de,Golf Club Gut Neuenhof
"Rommeljansweg 12, D-40882 Ratingen, Germany",+49 2102 81092,info@duesseldorfer-golf-club.de,Düsseldorfer Golf Club e.V.
"Gut Häusern 2, D-85229 Markt Indersdorf, Germany",+49 8139 93280,info@golf-gh.de,Münchner Golf Eschenried - Golfpark Gut Häusern
"Hofgut Todtenried, D-85235 Odelzhausen, Germany",+49 8134 99880,info@gcmw.de,Golfclub München-West Odelzhausen e.V.
"Am Golfplatz 24, D-21218 Seevetal, Germany",+49 4105 2331,sekretariat@hlgc-hittfeld.de,Hbg. Land- u. Golf Club Hittfeld e.V.
"Weimarer Straße 60, D-99444 Blankenhain, Thuringia, Germany",+49 36459 61641000,info@golfweimar.de,GolfResort Weimarer Land
"Myllendonker Straße 113, D-41352 Korschenbroich, Germany",+49 2161 641049,info@gcsm.de,Golfclub Schloss Myllendonk e.V.
"Eurach 8, D-82393 Iffeldorf, Germany",+49 8801 915830,info@eurach.de,St. Eurach Land- und Golf Club e.V.
"Sommerhalde 11, D-72181 Starzach-Sulzau, Germany",+49 7472 15050,info@gcsw.de,GC Schloss Weitenburg
"Merzhäuser Straße 29, D-61276 Weilrod, Germany",+49 6083 95050,kontakt@golfclub-weilrod.de,Golfclub Taunus Weilrod e.V.
"Zum Glasberg 9, D-24613 Aukrug-Bargfeld, Germany",+49 4873 595,sekretariat@golfclub-aukrug.de,Mittelholsteinischer Golf-Club Aukrug e.V.
"Anthal 2, D-83413 Fridolfing, Germany",+49 8684 888,info@golfclub-anthal.de,Golfclub Anthal-Waginger See
"Holzhof 2, D-85293 Reichertshausen, Germany",+49 8137 5084,info@gcr.de,Golfclub Schloß Reichertshausen
"Lindenstraße 46, D-63679 Schotten-Eschenrod, Germany",+49 6044 8401,info@gc-eschenrod.de,Golf Club Eschenrod e.V.
"Bonnstraße 409, D-50354 Hürth-Fischenich, Germany",+49 2233 6278898,kontakt@tincup.de,Golfcenter Tin-Cup
"Hahnenstraße/Gut Lärchenhof, D-50259 Pulheim, Germany",+49 2238 923900,golfclub@gutlaerchenhof.de,Golf Club Gut Lärchenhof e.V.
"Uneringer Straße, D-82319 Starnberg, Germany",+49 8151 12157,club@gcstarnberg.de,Golfclub Starnberg e.V.
"Guttenburg 3, D-84559 Kraiburg, Germany",+49 8638 887488,info@golfclub-guttenburg.de,Golf Club Schloss Guttenburg e.V.
"Golfplatz Alsberg a.d.H., D-63628 Bad Soden-Salmünster, Germany",+49 6056 91580,sekretariat@golf-spessart.de,Golf-Club Spessart e.V.
"Moserbergweg 60, A-6345 Kössen, Austria",+49 8640 798250,info@gcreit.de,Golfclub Reit im Winkl e.V. Kössen
"Hofgut Kargegg 1, D-78476 Allensbach-Langenrain, Germany",+49 7533 93030,info@golfclubkonstanz.de,Golf-Club Konstanz e.V.
"Zollmühle 1, D-91792 Ellingen, Germany",+49 9141 3976,info@golfanlage-zollmuehle.de,Golfclub Zollmühle
"Hohlacker 5, D-25813 Schwesing, Germany",+49 4841 72238,info@gc-husumer-bucht.de,Golf Club Husumer Bucht e.V.
"Talheimer Hof 1, D-74388 Talheim, Germany",+49 7131 6359911,welcome@talheimerhof.de,public Golf Talheimer Hof
"Moyländer Allee 1, D-47551 Bedburg-Hau, Germany",+49 2824 4749,info@landgolfclub.de,Land-Golf-Club Schloß Moyland e.V.
"Hurreler Straße/Lehmweg 1, D-27798 Hude, Germany",+49 4408 929090,info@golfinhude.de,Golf in Hude e.V.
"Roermonder Straße, ehemaliger Flughafen Elmpt, D-41372 Niederkrüchten, Germany",+49 2163 4996131,info@golf-in-elmpt.eu,Europäischer Golfclub Elmpter Wald e.V.
"Höseler Straße 147, D-42579 Heiligenhaus, Germany",+49 2056 93370,info@golfclubhoesel.de,Golfclub Hösel e.V.
"Ferdinand-von-Schill-Straße 4a, D-01728 Bannewitz, Germany",+49 35206 2430,info@golfclub-dresden.de,Golfclub Dresden Elbflorenz e.V.
"Wildgarten 1, D-24226 Heikendorf, Germany",+49 431 232324,info@golf-kiel.de,Golf-Club Kitzeberg e.V.
"Schloss Klingenburg, D-89343 Jettingen-Scheppach, Germany",+49 8225 3030,info@golf-klingenburg.de,Golf-Club Schloss Klingenburg e.V.
"Siebeneicker Straße 386, D-42111 Wuppertal, Germany",+49 2053 7077,info@golfclub-bergischland.de,Golf Club Bergisch Land Wuppertal e.V.
"Am Golfpark 1, D-79336 Herbolzheim-Tutschfelden, Germany",+49 7643 93690,sekretariat@gc-breisgau.de,Europa-Park Golfclub Breisgau e.V.
"Zum Golfplatz 23, D-49577 Ankum, Germany",+49 5466 301,info@artlandgolf.de,Artland Golfclub e.V.
"Voithenberg 3, D-93437 Furth im Wald, Germany",+49 9973 2089,info@gc-furth.de,Golf-Club Furth im Wald e.V.
"Buwiesen 10, D-72514 Inzigkofen, Germany",+49 7571 74420,info@gc-sigmaringen.de,Golf-Club Sigmaringen Zollern-Alb e.V.
"Am Golfplatz, D-21524 Brunstorf, Germany",+49 4151 867878,info@golfclub-brunstorf.de,Golf & Country Club Brunstorf
"Rittergut Rothenberger Haus, D-37115 Duderstadt, Germany",+49 5529 8992,club@gcrr.de,Golfclub Rittergut Rothenbergerhaus e.V.
"Industriestraße 16, D-49492 Westerkappeln-Velpe, Germany",+49 5456 96013,sekretariat@golfclub-habichtswald.de,Golfclub Habichtswald e.V.
"Franz-Ludwig-von-Cancrin-Weg 1 a, D-63454 Hanau-Wilhelmsbad, Germany",+49 6181 180190,info@golfclub-hanau.de,Golf Club Hanau-Wilhelmsbad e.V.
"Am Golfplatz 1, D-01454 Ullersdorf, Germany",+49 3528 48060,info@golfanlage-ullersdorf.de,Golf Club Dresden Ullersdorf e.V.
"Martendorf 23, D-25881 Tating, Germany",+49 4863 955060,info@opencounty.de,Golfplatz Open County
"Hennematt 20, D-79736 Rickenbach, Germany",+49 7765 777,info@golfclub-rickenbach.de,Golfclub Rickenbach e.V.
"Oberteicher Weg, D-22941 Jersbek, Germany",+49 4532 20950,mail@golfclub-jersbek.de,Golf-Club Jersbek e.V.
"D-54340 Ensch-Birkenheck, Germany",+49 6507 993255,info@golf-club-trier.de,Golf Club Trier e.V.
"Hochreiterweg 14, D-85567 Grafing-Oberelkofen, Germany",+49 8092 7494,info@gcschlosselkofen.de,Golf-Club Schloss Elkofen e.V.
"Attighof 1, D-35647 Waldsolms-Brandoberndorf, Germany",+49 6085 98120,info@attighof.de,Attighof Golf & Country Club e.V.
"Am Biddersbacher Hof, D-74931 Lobbach-Lobenfeld, Germany",+49 6226 952110,golf@gchl.de,Golfclub Heidelberg-Lobenfeld e.V.
"Schlossallee 1, D-18551 Lohme/Rügen, Germany",+49 38302 88910,golf@schloss-ranzow.de,Golfplatz Schloss Ranzow
"Am Golfplatz, D-24806 Sorgbrück, Germany",+49 4336 999111,info@lohersand.de,Golf Club Lohersand e.V.
"Fruhstorf 6, D-94330 Aiterhofen, Germany",+49 9421 72804,kontakt@golfclub-gaeuboden.de,Golfclub Gäuboden e.V.
"Wissmannshof 1, D-34355 Staufenberg, Germany",+49 5543 999335,info@wissmannshof.de,Sport-und Golf-Resort Gut Wissmannshof
"Über dem Ohle 25, D-57392 Schmallenberg, Germany",+49 2975 8745,info@golfclub-schmallenberg.de,Golfclub Schmallenberg e.V.
"Arsbecker Str. 160, D-41844 Wegberg, Germany",+49 2436 39090,info@golfclubschmitzhof.de,Golf- und Landclub Schmitzhof e.V.
"Gerhelm 1, D-91235 Velden, Germany",+49 9152 398,info@gerhelm.de,Golfclub Gerhelm Nürnberger Land e.V.
"Kötzing 1, D-83339 Chieming-Hart, Germany",+49 8669 87330,info@golfchieming.de,Golf-Club Chieming e.V.
"Golfplatz 2, D-51429 Bergisch Gladbach, Germany",+49 2204 92760,info@glckoeln.de,Golf- und Land-Club Köln e.V.
"In den Weihern 21, D-66687 Wadern-Nunkirchen, Germany",+49 6874 186980,info@golfpark-weiherhof.info,Golfclub Weiherhof e. V.
"Haxterhöhe 2, D-33100 Paderborn, Germany",+49 5251 604248,info@haxterpark.de,Universitäts-Golfclub Paderborn e.V.
"Rosenhof, D-63843 Niedernberg, Bavaria, Germany",+49 6026 9771390,info@golfparkrosenhof.de,Golfpark Rosenhof
"Aldruper Oberesch 12, D-48268 Greven, Germany",+49 2571 97095,info@golfclub-aldruper-heide.de,Golf-Club Aldruper Heide e.V.
"Eichenallee 1, D-24321 Hohwacht/Ostsee, Germany",+49 4381 9690,info@golfclub-hohwacht.de,Golf- und Country-Club Hohwachter Bucht e.V.
"Oberlippach 2, D-84095 Furth bei Landshut, Germany",+49 8704 8378,sekretariat@golf-landshut.de,Golf Club Landshut e.V.
"Hofgut Neuhof, D-63303 Dreieich, Germany",+49 6102 327010,info@golfclubneuhof.de,Golf Club Neuhof e.V.
"Hagelwasen, D-72379 Hechingen, Germany",+49 7471 9849930,info@golfclub-hechingen.de,Golf Club Hechingen-Hohenzollern e.V.
"Weihern 3, D-84104 Rudelzhausen, Germany",+49 8756 96010,rezeption@golfclubholledau.de,Golfanlage Holledau
"Golfstraße 41, D-60528 Frankfurt, Germany",+49 69 66623180,info@fgc.de,Frankfurter Golf Club e.V.
"Golfplatz 1, D-75378 Bad Liebenzell, Germany",+49 7052 93250,info@gcbl.de,Golfclub Bad Liebenzell e.V.
"Milanweg, D-54576 Hillesheim, Germany",+49 6593 1241,info@golfclub-eifel.de,Golf Club Eifel e.V.
"Welpe 2, D-49377 Vechta, Germany",+49 4441 5539,info@golfclub-vechta.de,Golfclub Vechta-Welpe e.V.
"Haus Amecke, D-59846 Sundern, Germany",+49 2393 170666,info@golfhausamecke.de,Golf am Haus Amecke
"Haghof 6, D-73553 Alfdorf-Haghof, Germany",+49 7182 92760,info@glc-haghof.de,Golf- und Landclub Haghof e.V.
"Zum Golfplatz 1, D-92355 Velburg-Unterwiesenacker, Germany",+49 9182 931910,gcah@juragolf.de,Golf Club Am Habsberg e.V.
"Am Golfplatz 35, D-36145 Hofbieber, Germany",+49 6657 1334,info@golfclub-fulda.de,Golfclub Fulda Rhön e.V.
"Overbach 1, D-53804 Much, Germany",+49 2245 5550,info@golfclub-burg-overbach.de,Golf Club Burg Overbach e.V.
"Lampertsweiler 51, D-88138 Weißensberg, Germany",+49 8389 89190,info@gcbw.de,Golfclub Bodensee Weißensberg e.V.
"An der Rottwiese 2, D-94094 Rotthalmünster, Germany",+49 8532 92440,golfresort@quellness-golf.com,"Golf Resort Bad Griesbach, Porsche Golf Course"
"Hof Berg 3, D-25917 Stadum, Germany",+49 4662 70577,info@gc-hofberg.de,Golf Club Hof Berg e.V.
"Feursstraße 89, D-82140 Olching, Germany",+49 8142 48290,sportbuero@golfclubolching.de,Golfclub Olching e.V.
"Schloßfeld 6 / Golfplatz, D-71297 Mönsheim, Germany",+49 7044 9110410,info@golfclub-stuttgart.com,Stuttgarter Golf-Club Solitude e.V.
"Freiung 14, D-83104 Maxlrain, Germany",+49 8061 1403,info@golfclub-maxlrain.de,Golf Club Schloß Maxlrain e.V.
"Dr.-Detlev-Rudelsdorff-Allee 3, D-36088 Hünfeld, Germany",+49 6652 9970,info@praforst.de,Golf Club Hofgut Praforst
"Moselweg 4, D-53902 Bad Münstereifel, Germany",+49 2253 2714,info@golfbadmuenstereifel.de,Golfclub Bad Münstereifel-Stockert e.V.
"Wettmarer Straße 13, D-30938 Burgwedel-Engensen, Germany",+49 5139 9739690,info@gc-burgwedel.de,Golf Club Burgwedel e.V.
"Rohrenfeld 102, D-86633 Neuburg an der Donau, Germany",+49 8431 908590,info@wbgc.de,Wittelsbacher Golfclub Rohrenfeld-Neuburg e.V.
